Term Code,Class,Title,Crn,Instructor,Cap,Enrl,Days,Times,Location,Type
202030,AC 501-801,Chem Dependency Counseling I,33796,"Price, Tessa",30,14,,-,ONLINE WEB,L
202030,AC 502-801,Psychopharmacology & Addiction,33797,"Frye, Shelby",30,10,,-,ONLINE WEB,L
202030,AC 507-801,Grp Cnsl Addiction Settings,33798,"Kaminski, Katherine",30,13,,-,ONLINE WEB,L
202030,AC 509-801,Assess Treat Plan Addiction II,33799,"Hadeed, Sabrina",30,14,,-,ONLINE WEB,L
202030,ACT 104-001,Beginning Bowling,30095,"Sickler, Laurie",24,24,MW,0900-0950,SUB REC,B
202030,ACT 104-002,Beginning Bowling,30096,"Sickler, Laurie",24,24,MW,1000-1050,SUB REC,B
202030,ACT 104-003,Beginning Bowling,30097,"Sickler, Laurie",24,24,MW,1100-1150,SUB REC,B
202030,ACT 104-004,Beginning Bowling,30098,"Sickler, Laurie",24,24,MW,1310-1400,SUB REC,B
202030,ACT 104-005,Beginning Bowling,30099,"Sickler, Laurie",24,15,MW,1410-1500,SUB REC,B
202030,ACT 104-006,Beginning Bowling,30100,"Sickler, Laurie",24,17,TR,0825-0915,SUB REC,B
202030,ACT 104-007,Beginning Bowling,30101,"Sickler, Laurie",24,24,TR,0950-1040,SUB REC,B
202030,ACT 104-008,Beginning Bowling,30102,"Sickler, Laurie",24,23,TR,1100-1150,SUB REC,B
202030,ACT 104-009,Beginning Bowling,31636,"Sickler, Laurie",24,11,TR,1340-1430,SUB REC,B
202030,ACT 104-010,Beginning Bowling,31637,"Sickler, Laurie",24,24,TR,1505-1555,SUB REC,B
202030,ACT 109-001,Beginning Racquetball,32604,"Krushensky, Scott",20,20,MW,0900-0950,MHFC RACQUT,B
202030,ACT 109-002,Beginning Racquetball,32605,"Krushensky, Scott",20,20,MW,1000-1050,MHFC RACQUT,B
202030,ACT 110-001,Beginning Weight Training,32721,"Schulte, Jacob",22,22,TR,0700-0750,MHFC LOBBY,B
202030,ACT 110-002,Beginning Weight Training,32722,"Irick, Alexander",22,22,MW,1000-1050,MHFC LOBBY,B
202030,ACT 110-003,Beginning Weight Training,32723,"Schulte, Jacob",22,22,TR,0900-0950,MHFC LOBBY,B
202030,ACT 110-004,Beginning Weight Training,32823,"Cox, Nina",22,22,TR,1100-1150,MHFC LOBBY,B
202030,ACT 110-005,Beginning Weight Training,34116,"Oard, Tasha",22,22,MW,0900-0950,MHFC LOBBY,B
202030,ACT 115-001,Soccer,33362,"Lyon, Suzanne",24,23,TR,1215-1330,CTGS1 ,B
202030,ACT 115-003,Soccer,35176,"Bogard, Allison",24,10,MW,1310-1425,CTGS1 ,B
202030,ACT 115-004,Soccer,35177,"Bogard, Allison",0,1,MW,1435-1550,CTGS1 ,B
202030,ACT 120-001,Beginning Alpine Skiing,33848,"Hickey, Bonnie",25,5,T,1410-1600, ,B
202030,ACT 120-002,Beginning Alpine Skiing,33877,"Hickey, Bonnie",25,9,W,1400-1600, ,B
202030,ACT 120-003,Beginning Alpine Skiing,33878,"Hickey, Bonnie",25,11,R,1410-1600, ,B
202030,ACT 120-004,Beginning Alpine Skiing,33879,"Hickey, Bonnie",25,22,F,1410-1600, ,B
202030,ACT 121-001,Beginning Snowboarding,33849,"Hickey, Bonnie",25,5,T,1410-1600, ,B
202030,ACT 121-002,Beginning Snowboarding,33880,"Hickey, Bonnie",25,15,W,1410-1600, ,B
